ABH;АБХАЗИЯ;РЕСПУБЛИКА АБХАЗИЯ
UMI;МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ;МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ
MDV;МАЛЬДИВЫ;МАЛЬДИВСКАЯ РЕСПУБЛИКА
MLT;МАЛЬТА;РЕСПУБЛИКА МАЛЬТА
MAR;МАРОККО;КОРОЛЕВСТВО МАРОККО
MTQ;МАРТИНИКА;МАРТИНИКА
MHL;МАРШАЛЛОВЫ ОСТРОВА;РЕСПУБЛИКА МАРШАЛЛОВЫ ОСТРОВА
MEX;МЕКСИКА;МЕКСИКАНСКИЕ СОЕДИНЕННЫЕ ШТАТЫ
FSM;МИКРОНЕЗИЯ;ФЕДЕРАТИВНЫЕ ШТАТЫ МИКРОНЕЗИИ
MOZ;МОЗАМБИК;РЕСПУБЛИКА МОЗАМБИК
MDA;МОЛДОВА;РЕСПУБЛИКА МОЛДОВА
MCO;МОНАКО;КНЯЖЕСТВО МОНАКО
MNG;МОНГОЛИЯ;МОНГОЛИЯ
MSR;МОНТСЕРРАТ;МОНТСЕРРАТ
MMR;МЬЯНМА;СОЮЗ МЬЯНМА
NAM;НАМИБИЯ;РЕСПУБЛИКА НАМИБИЯ
NRU;НАУРУ;РЕСПУБЛИКА НАУРУ
NPL;НЕПАЛ;ФЕДЕРАТИВНАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА НЕПАЛ
NER;НИГЕР;РЕСПУБЛИКА НИГЕР
NGA;НИГЕРИЯ;ФЕДЕРАТИВНАЯ РЕСПУБЛИКА НИГЕРИЯ
ANT;НИДЕРЛАНДСКИЕ АНТИЛЫ;НИДЕРЛАНДСКИЕ АНТИЛЫ
NLD;НИДЕРЛАНДЫ;КОРОЛЕВСТВО НИДЕРЛАНДОВ
NIC;НИКАРАГУА;РЕСПУБЛИКА НИКАРАГУА
NIU;НИУЭ;РЕСПУБЛИКА НИУЭ
NZL;НОВАЯ ЗЕЛАНДИЯ;НОВАЯ ЗЕЛАНДИЯ
NCL;НОВАЯ КАЛЕДОНИЯ;НОВАЯ КАЛЕДОНИЯ
NOR;НОРВЕГИЯ;КОРОЛЕВСТВО НОРВЕГИЯ
ARE;ОАЭ;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
OMN;ОМАН;СУЛТАНАТ ОМАН
BVT;ОСТРОВ БУВЕ;ОСТРОВ БУВЕ
IMN;ОСТРОВ МЭН;ОСТРОВ МЭН
NFK;ОСТРОВ НОРФОЛК;ОСТРОВ НОРФОЛК
CXR;ОСТРОВ РОЖДЕСТВА;ОСТРОВ РОЖДЕСТВА
HMD;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
CYM;ОСТРОВА КАЙМАН;ОСТРОВА КАЙМАН
COK;ОСТРОВА КУКА;ОСТРОВА КУКА
TCA;ОСТРОВА ТЕРКС И КАЙКОС;ОСТРОВА ТЕРКС И КАЙКОС
PAK;ПАКИСТАН;ИСЛАМСКАЯ РЕСПУБЛИКА ПАКИСТАН
PLW;ПАЛАУ;РЕСПУБЛИКА ПАЛАУ
PSE;ПАЛЕСТИНСКАЯ ТЕРРИТОРИЯ;ОККУПИРОВАННАЯ ПАЛЕСТИНСКАЯ ТЕРРИТОРИЯ
PAN;ПАНАМА;РЕСПУБЛИКА ПАНАМА
PNG;ПАПУА-НОВАЯ ГВИНЕЯ;ПАПУА-НОВАЯ ГВИНЕЯ
PRY;ПАРАГВАЙ;РЕСПУБЛИКА ПАРАГВАЙ
PER;ПЕРУ;ПЕРУ
PCN;ПИТКЕРН;ПИТКЕРН
POL;ПОЛЬША;РЕСПУБЛИКА ПОЛЬША
PRT;ПОРТУГАЛИЯ;ПОРТУГАЛЬСКАЯ РЕСПУБЛИКА
PRI;ПУЭРТО-РИКО;ПУЭРТО-РИКО
REU;РЕЮНЬОН;РЕЮНЬОН
RUS;РОССИЯ;РОССИЙСКАЯ ФЕДЕРАЦИЯ
RWA;РУАНДА;РУАНДИЙСКАЯ РЕСПУБЛИКА
ROU;РУМЫНИЯ;РУМЫНИЯ
SLV;САЛЬВАДОР;РЕСПУБЛИКА ЭЛЬ-САЛЬВАДОР
WSM;САМОА;НЕЗАВИСИМОЕ ГОСУДАРСТВО САМОА
SMR;САН-МАРИНО;РЕСПУБЛИКА САН-МАРИНО
STP;САН-ТОМЕ И ПРИНСИПИ;ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА САН-ТОМЕ И ПРИНСИПИ
SAU;САУДОВСКАЯ АРАВИЯ;КОРОЛЕВСТВО САУДОВСКАЯ АРАВИЯ
SWZ;СВАЗИЛЕНД;КОРОЛЕВСТВО СВАЗИЛЕНД
SHN;СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ;СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ
MNP;СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА;СОДРУЖЕСТВО СЕВЕРНЫХ МАРИАНСКИХ ОСТРОВОВ
SYC;СЕЙШЕЛЫ;РЕСПУБЛИКА СЕЙШЕЛЫ
BLM;СЕН-БАРТЕЛЕМИ;СЕН-БАРТЕЛЕМИ
SEN;СЕНЕГАЛ;РЕСПУБЛИКА СЕНЕГАЛ
MAF;СЕН-МАРТЕН;СЕН-МАРТЕН
VCT;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
KNA;СЕНТ-КИТС И НЕВИС;СЕНТ-КИТС И НЕВИС
LCA;СЕНТ-ЛЮСИЯ;СЕНТ-ЛЮСИЯ
SPM;СЕНТ-ПЬЕР И МИКЕЛОН;СЕНТ-ПЬЕР И МИКЕЛОН
SRB;СЕРБИЯ;РЕСПУБЛИКА СЕРБИЯ
SGP;СИНГАПУР;РЕСПУБЛИКА СИНГАПУР
SYR;СИРИЯ;СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
SVK;СЛОВАКИЯ;СЛОВАЦКАЯ РЕСПУБЛИКА
SVN;СЛОВЕНИЯ;РЕСПУБЛИКА СЛОВЕНИЯ
SLB;СОЛОМОНОВЫ ОСТРОВА;СОЛОМОНОВЫ ОСТРОВА
SOM;СОМАЛИ;СОМАЛИЙСКАЯ РЕСПУБЛИКА
SDN;СУДАН;РЕСПУБЛИКА СУДАН
SUR;СУРИНАМ;РЕСПУБЛИКА СУРИНАМ
USA;США;СОЕДИНЕННЫЕ ШТАТЫ АМЕРИКИ
SLE;СЬЕРРА-ЛЕОНЕ;РЕСПУБЛИКА СЬЕРРА-ЛЕОНЕ
TJK;ТАДЖИКИСТАН;РЕСПУБЛИКА ТАДЖИКИСТАН
TWN;ТАЙВАНЬ;ТАЙВАНЬ (КИТАЙ)
THA;ТАИЛАНД;КОРОЛЕВСТВО ТАИЛАНД
TZA;ТАНЗАНИЯ;ОБЪЕДИНЕННАЯ РЕСПУБЛИКА ТАНЗАНИЯ
TLS;ТИМОР-ЛЕСТЕ;ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА ТИМОР-ЛЕСТЕ
TGO;ТОГО;ТОГОЛЕЗСКАЯ РЕСПУБЛИКА
TKL;ТОКЕЛАУ;ТОКЕЛАУ
TON;ТОНГА;КОРОЛЕВСТВО ТОНГА
TTO;ТРИНИДАД И ТОБАГО;РЕСПУБЛИКА ТРИНИДАД И ТОБАГО
TUV;ТУВАЛУ;ТУВАЛУ
TUN;ТУНИС;ТУНИССКАЯ РЕСПУБЛИКА
TKM;ТУРКМЕНИЯ;ТУРКМЕНИСТАН
TUR;ТУРЦИЯ;ТУРЕЦКАЯ РЕСПУБЛИКА
UGA;УГАНДА;РЕСПУБЛИКА УГАНДА
UZB;УЗБЕКИСТАН;РЕСПУБЛИКА УЗБЕКИСТАН
UKR;УКРАИНА;УКРАИНА
WLF;УОЛЛИС И ФУТУНА;УОЛЛИС И ФУТУНА
URY;УРУГВАЙ;ВОСТОЧНАЯ РЕСПУБЛИКА УРУГВАЙ
FRO;ФАРЕРСКИЕ ОСТРОВА;ФАРЕРСКИЕ ОСТРОВА
FJI;ФИДЖИ;РЕСПУБЛИКА ОСТРОВОВ ФИДЖИ
PHL;ФИЛИППИНЫ;РЕСПУБЛИКА ФИЛИППИНЫ
FIN;ФИНЛЯНДИЯ;ФИНЛЯНДСКАЯ РЕСПУБЛИКА
FLK;ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ);ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
FRA;ФРАНЦИЯ;ФРАНЦУЗСКАЯ РЕСПУБЛИКА
GUF;ФРАНЦУЗСКАЯ ГВИАНА;ФРАНЦУЗСКАЯ ГВИАНА
PYF;ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ;ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
ATF;ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ;ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
HRV;ХОРВАТИЯ;РЕСПУБЛИКА ХОРВАТИЯ
CAF;ЦАР;ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
TCD;ЧАД;РЕСПУБЛИКА ЧАД
MNE;ЧЕРНОГОРИЯ;ЧЕРНОГОРИЯ
CZE;ЧЕХИЯ;ЧЕШСКАЯ РЕСПУБЛИКА
CHL;ЧИЛИ;РЕСПУБЛИКА ЧИЛИ
CHE;ШВЕЙЦАРИЯ;ШВЕЙЦАРСКАЯ КОНФЕДЕРАЦИЯ
SWE;ШВЕЦИЯ;КОРОЛЕВСТВО ШВЕЦИЯ
SJM;ШПИЦБЕРГЕН И ЯН МАЙЕН;ШПИЦБЕРГЕН И ЯН МАЙЕН
LKA;ШРИ-ЛАНКА;ДЕМОКРАТИЧЕСКАЯ СОЦИАЛИСТИЧЕСКАЯ РЕСПУБЛИКА ШРИ-ЛАНКА
ECU;ЭКВАДОР;РЕСПУБЛИКА ЭКВАДОР
GNQ;ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ;РЕСПУБЛИКА ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
ALA;ЭЛАНДСКИЕ ОСТРОВА;ЭЛАНДСКИЕ ОСТРОВА
ERI;ЭРИТРЕЯ;ЭРИТРЕЯ
EST;ЭСТОНИЯ;ЭСТОНСКАЯ РЕСПУБЛИКА
ETH;ЭФИОПИЯ;ФЕДЕРАТИВНАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА ЭФИОПИЯ
ZAF;ЮАР;ЮЖНО-АФРИКАНСКАЯ РЕСПУБЛИКА
SGS;ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА;ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА
OST;ЮЖНАЯ ОСЕТИЯ;РЕСПУБЛИКА ЮЖНАЯ ОСЕТИЯ
JAM;ЯМАЙКА;ЯМАЙКА
JPN;ЯПОНИЯ;ЯПОНИЯ

